player_name,game,prop_type,line,over_odds,under_odds,sportsbook,game_date
Jaylen Brown,BOS Celtics @ NY Knicks,Rebounds,5.5,−148,+114,DraftKings,2025-10-24
Myles Turner,MIL Bucks @ TOR Raptors,Rebounds,5.5,+106,−138,DraftKings,2025-10-24
OG Anunoby,BOS Celtics @ NY Knicks,Rebounds,5.5,+107,−139,DraftKings,2025-10-24
Franz Wagner,ATL Hawks @ ORL Magic,Rebounds,5.5,+112,−146,DraftKings,2025-10-24
Brandon Ingram,MIL Bucks @ TOR Raptors,Rebounds,5.5,+113,−146,DraftKings,2025-10-24
Dyson Daniels,ATL Hawks @ ORL Magic,Rebounds,5.5,+113,−147,DraftKings,2025-10-24
Payton Pritchard,BOS Celtics @ NY Knicks,Rebounds,4.5,−132,+102,DraftKings,2025-10-24
Desmond Bane,ATL Hawks @ ORL Magic,Rebounds,4.5,−123,−106,DraftKings,2025-10-24
Derrick White,BOS Celtics @ NY Knicks,Rebounds,4.5,+113,−147,DraftKings,2025-10-24
Immanuel Quickley,MIL Bucks @ TOR Raptors,Rebounds,3.5,−154,+119,DraftKings,2025-10-24
Mikal Bridges,BOS Celtics @ NY Knicks,Rebounds,3.5,−115,−113,DraftKings,2025-10-24
Zaccharie Risacher,ATL Hawks @ ORL Magic,Rebounds,3.5,+112,−146,DraftKings,2025-10-24
Sam Hauser,BOS Celtics @ NY Knicks,Rebounds,3.5,+115,−149,DraftKings,2025-10-24
Jalen Suggs,ATL Hawks @ ORL Magic,Rebounds,3.5,+127,−165,DraftKings,2025-10-24
Trae Young,ATL Hawks @ ORL Magic,Rebounds,2.5,−171,+131,DraftKings,2025-10-24
AJ Green,MIL Bucks @ TOR Raptors,Rebounds,2.5,−114,−113,DraftKings,2025-10-24
Gary Trent Jr.,MIL Bucks @ TOR Raptors,Rebounds,2.5,+123,−160,DraftKings,2025-10-24
Trae Young,ATL Hawks @ ORL Magic,Assists,9.5,−103,−125,DraftKings,2025-10-24
Giannis Antetokounmpo,MIL Bucks @ TOR Raptors,Assists,6.5,−138,+106,DraftKings,2025-10-24
Jalen Brunson,BOS Celtics @ NY Knicks,Assists,6.5,+109,−141,DraftKings,2025-10-24
Immanuel Quickley,MIL Bucks @ TOR Raptors,Assists,6.5,+112,−145,DraftKings,2025-10-24
Jaylen Brown,BOS Celtics @ NY Knicks,Assists,5.5,−110,−117,DraftKings,2025-10-24
Scottie Barnes,MIL Bucks @ TOR Raptors,Assists,4.5,−151,+116,DraftKings,2025-10-24
Franz Wagner,ATL Hawks @ ORL Magic,Assists,4.5,−128,−101,DraftKings,2025-10-24
Derrick White,BOS Celtics @ NY Knicks,Assists,4.5,+102,−132,DraftKings,2025-10-24
Paolo Banchero,ATL Hawks @ ORL Magic,Assists,4.5,+112,−145,DraftKings,2025-10-24
Brandon Ingram,MIL Bucks @ TOR Raptors,Assists,4.5,+116,−150,DraftKings,2025-10-24
Payton Pritchard,BOS Celtics @ NY Knicks,Assists,4.5,+120,−156,DraftKings,2025-10-24
Anfernee Simons,BOS Celtics @ NY Knicks,Assists,4.5,+124,−161,DraftKings,2025-10-24
Ryan Rollins,MIL Bucks @ TOR Raptors,Assists,3.5,−159,+123,DraftKings,2025-10-24
Jalen Johnson,ATL Hawks @ ORL Magic,Assists,3.5,−154,+118,DraftKings,2025-10-24
RJ Barrett,MIL Bucks @ TOR Raptors,Assists,3.5,−151,+116,DraftKings,2025-10-24
Mikal Bridges,BOS Celtics @ NY Knicks,Assists,3.5,−140,+108,DraftKings,2025-10-24
Desmond Bane,ATL Hawks @ ORL Magic,Assists,3.5,+102,−132,DraftKings,2025-10-24
Dyson Daniels,ATL Hawks @ ORL Magic,Assists,3.5,+108,−140,DraftKings,2025-10-24
Jalen Suggs,ATL Hawks @ ORL Magic,Assists,3.5,+125,−162,DraftKings,2025-10-24
Nickeil Alexander-Walker,ATL Hawks @ ORL Magic,Assists,2.5,−129,+100,DraftKings,2025-10-24
Jakob Poeltl,MIL Bucks @ TOR Raptors,Assists,2.5,+139,−181,DraftKings,2025-10-24
